country,latitude,longitude,charging_points
2,48.714802,-122.475942,1
2,48.6499909,-118.7098173,1
2,48.60597,-118.05346,1
2,48.60269,-118.0557,1
2,48.5568987,-117.9219539,1
2,48.5187104,-116.9272995,1
2,48.4661268,-122.343998,1
2,48.456783,-122.330527,1
2,48.3630209,-119.5835973,1
2,48.3438373,-117.2723993,1
2,48.31268416,-116.5473902,1
2,48.301831,-118.198289,1
2,48.1823484,-117.049175,1
2,48.14742,-122.16299,1
2,48.085817,-123.101359,1
2,48.0649668,-122.2829886,1
2,47.9500917,-124.3850766,1
2,47.918037,-122.229865,1
2,47.8300946,-110.663272,1
2,47.8218869,-122.3096395,1
2,47.8101569,-122.5408873,1
2,47.772832,-122.185023,1
2,47.761303,-122.175434,1
2,47.75837,-122.24712,1
2,47.7527076,-117.4194049,1
2,47.7486311,-122.3594244,1
2,47.74177,-93.65584,1
2,47.7408177,-124.4133148,1
2,47.718848,-117.431903,1
2,47.71797691616984,-122.1809364163666,1
2,47.717487,-117.437103,1
2,47.704831,-122.156866,1
2,47.704142,-122.211955,1
2,47.699499,-117.437352,1
2,47.690965,-122.354287,1
2,47.67269949213767,-117.1117422664153,1
2,47.664469,-117.412087,1
2,47.6595309,-117.564464,1
2,47.658394,-117.4024463,1
2,47.657041,-117.367283,1
2,47.6550725,-117.5702061,1
2,47.6532073,-117.5663691,1
2,47.65012,-122.13915,1
2,47.635666,-122.053212,1
2,47.630586,-117.368447,1
2,47.626235432,-122.322031057,1
2,47.624522,-122.51897,1
2,47.619981,-122.360278,1
2,47.6185542,-122.1950406,1
2,47.61343,-122.322494,1
2,47.613106,-122.197548,1
2,47.607943,-122.338246,1
2,47.606818,-117.357525,1
2,47.606408,-117.355755,1
2,47.605927,-117.354783,1
2,47.581098,-122.132018,1
2,47.577639,-122.166601,1
2,47.558338,-122.675791,1
2,47.556565,-122.386442,1
2,47.5333727,-122.5955185,1
2,47.5320289,-122.3375342,1
2,47.529972,-122.025196,1
2,47.528206,-121.870253,1
2,47.513024,-111.313721,1
2,47.49960058353124,-122.1788897452154,1
2,47.472476,-122.234621,1
2,47.469771,-122.219579,1
2,47.469185,-122.221951,1
2,47.46910948124239,-122.2207897474606,1
2,47.447123,-122.459256,1
2,47.423284,-120.306191,1
2,47.423261,-120.306256,1
2,47.315916,-122.224106,1
2,47.291397,-122.32034,1
2,47.28129,-122.558649,1
2,47.28096,-122.558699,1
2,47.260034,-122.434402,1
2,47.245779,-122.525831,1
2,47.2380278,-122.4293507,1
2,47.1976176,-122.294162,1
2,47.184003,-122.255385,1
2,47.166854,-122.128114,1
2,47.158693,-122.293656,1
2,47.1261466,-88.5904812,1
2,47.114268,-118.366138,1
2,47.11379,-118.365959,1
2,47.068947,-122.41667,1
2,47.00975332112307,-91.71043584318876,1
2,46.952654,-123.803684,1
2,46.92447,-92.91449,1
2,46.918701,-96.825058,1
2,46.91337,-98.00726,1
2,46.886248,-124.123109,1
2,46.857732,-122.84908,1
2,46.856719,-122.85292,1
2,46.853667,-96.8572111,1
2,46.849206,-96.748955,1
2,46.845888,-122.87512,1
2,46.835571,-114.044658,1
2,46.835499,-114.044471,1
2,46.833189,-96.845284,1
2,46.829393,-96.837719,1
2,46.76276,-92.13058,1
2,46.7607032,-117.17319,1
2,46.70320045967501,-92.10334837446996,1
2,46.64526,-122.95333,1
2,46.6038307,-120.5005622,1
2,46.6032173,-120.5002317,1
2,46.582897,-120.574646,1
2,46.581636,-87.384149,1
2,46.562104,-120.496045,1
2,46.550349,-91.575488,1
2,46.48181,-93.95008,1
2,46.45208,-84.60127,1
2,46.400818,-116.992275,1
2,46.365289,-119.280012,1
2,46.352983,-119.28209,1
2,46.350133,-119.280711,1
2,46.3491,-119.281633,1
2,46.348558,-119.28121,1
2,46.344459,-119.276454,1
2,46.3383082,-119.2692778,1
2,46.32971,-119.282296,1
2,46.27586,-119.27605,1
2,46.26311,-119.25227,1
2,46.2594556,-119.3114845,1
2,46.234523,-119.224959,1
2,46.2345183,-119.2342986,1
2,46.225375,-119.117741,1
2,46.223571,-119.2052,1
