model year,make,model,electric vehicle type,vehicle_count
2018,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),19
2018,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),23
2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),49
2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),171
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),1129
2018,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),24
2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),59
2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),44
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),5890
2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),891
2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),864
2018,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),660
2018,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),36
2018,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV),17
2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),123
2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),85
2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),537
2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),98
2019,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),3
2019,BMW,I3,Battery Electric Vehicle (BEV),72
2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),134
2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),31
2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),1288
2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),120
2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),115
2019,FIAT,500,Battery Electric Vehicle (BEV),11
2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),122
2019,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),108
2019,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),27
2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),60
2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),54
2019,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),5
2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),30
2019,KIA,NIRO,Battery Electric Vehicle (BEV),401
2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),250
2019,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),2
2019,KIA,SOUL,Battery Electric Vehicle (BEV),3
2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),137
2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),104
2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),157
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),1314
2019,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),69
2019,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),8
2019,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),11
2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),95
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),3857
2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),265
2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),407
2019,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),237
2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),515
2019,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),9
2019,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV),5
2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),108
2019,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),66
2020,AUDI,A8 E,Plug-in Hybrid Electric Vehicle (PHEV),4
2020,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),35
2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),223
2020,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),18
2020,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV),10
2020,BMW,I3,Battery Electric Vehicle (BEV),33
2020,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),50
2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),89
2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),1671
2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),275
2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),60
2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),88
2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),62
2020,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),43
2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),195
2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),88
2020,KIA,NIRO,Battery Electric Vehicle (BEV),461
2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),108
2020,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),14
2020,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV),7
2020,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),26
2020,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),47
2020,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),35
2020,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),3
2020,MINI,HARDTOP,Battery Electric Vehicle (BEV),16
2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),96
2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),671
2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),33
2020,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),10
2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),148
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),3444
2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),387
2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),682
2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),2312
2020,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),376
2020,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),12
2020,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV),3
2020,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),6
2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),93
2020,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),100
